,natural_gas,gasoline_sales,date
0,43172,5828.2,2021-12-01
1,31786,5942.2,2021-11-01
2,21723,6085.1,2021-10-01
3,17929,6033.1,2021-09-01
4,22065,6086.5,2021-08-01
5,22063,6025.7,2021-07-01
6,21259,6203.8,2021-06-01
7,18722,5815.7,2021-05-01
8,26679,5660.8,2021-04-01
9,40475,5543.3,2021-03-01
10,52791,5153.9,2021-02-01
11,55605,5002.6,2021-01-01
12,50034,5308.4,2020-12-01
13,31076,5479.9,2020-11-01
14,23994,5759.9,2020-10-01
15,18381,5844.9,2020-09-01
16,22665,6001.1,2020-08-01
17,27568,5830.6,2020-07-01
18,17660,5453.0,2020-06-01
19,18276,4428.4,2020-05-01
20,30792,3496.7,2020-04-01
21,36129,5085.6,2020-03-01
22,48625,6253.8,2020-02-01
23,54347,6103.9,2020-01-01
24,54040,6308.1,2019-12-01
25,41163,6435.7,2019-11-01
26,22869,6530.0,2019-10-01
27,18225,6359.6,2019-09-01
28,22503,6612.3,2019-08-01
29,26964,6605.3,2019-07-01
30,17660,6518.5,2019-06-01
31,22161,6563.7,2019-05-01
32,30029,6389.0,2019-04-01
33,48182,5924.2,2019-03-01
34,52258,5865.1,2019-02-01
35,62226,5959.8,2019-01-01
36,48068,6387.0,2018-12-01
37,39981,6459.8,2018-11-01
38,25868,6578.2,2018-10-01
39,22131,6475.5,2018-09-01
40,28736,6797.6,2018-08-01
41,26528,6674.5,2018-07-01
42,18904,6793.7,2018-06-01
43,19253,6694.4,2018-05-01
44,34995,6361.5,2018-04-01
45,50795,6194.4,2018-03-01
46,53895,6433.2,2018-02-01
47,61282,6394.6,2018-01-01
48,58012,6387.4,2017-12-01
49,38033,6564.5,2017-11-01
50,26389,6437.9,2017-10-01
51,24628,6172.1,2017-09-01
52,27825,6529.9,2017-08-01
53,27329,7261.0,2017-07-01
54,25689,7591.8,2017-06-01
55,28053,7321.9,2017-05-01
56,34677,7059.3,2017-04-01
57,53317,7030.1,2017-03-01
58,44661,6768.7,2017-02-01
59,52121,6663.5,2017-01-01
60,50315,7329.7,2016-12-01
61,32838,7508.4,2016-11-01
62,25040,7567.7,2016-10-01
63,23309,7615.9,2016-09-01
64,30155,7659.2,2016-08-01
65,30228,7810.1,2016-07-01
66,26479,7783.8,2016-06-01
67,29521,7011.9,2016-05-01
68,34459,7083.4,2016-04-01
69,39498,6871.9,2016-03-01
70,47175,6678.8,2016-02-01
71,50432,6563.6,2016-01-01
72,35848,6614.3,2015-12-01
73,31121,6460.4,2015-11-01
74,30340,6853.9,2015-10-01
75,26010,6874.8,2015-09-01
76,32327,7012.8,2015-08-01
77,31968,6926.7,2015-07-01
78,24702,6896.9,2015-06-01
79,26798,6739.8,2015-05-01
80,32698,6945.1,2015-04-01
81,48538,6593.8,2015-03-01
82,56909,6309.0,2015-02-01
83,56732,6246.4,2015-01-01
84,40965,5634.6,2014-12-01
85,34407,5737.0,2014-11-01
86,28321,5962.5,2014-10-01
87,23092,5943.1,2014-09-01
88,25776,6168.6,2014-08-01
89,27305,6052.2,2014-07-01
90,22385,6109.0,2014-06-01
91,27292,6306.7,2014-05-01
92,38084,6054.7,2014-04-01
93,44694,5842.3,2014-03-01
94,47769,5837.5,2014-02-01
95,53771,5561.6,2014-01-01
